iter	Passed	Remaining
402	12802	18965
403	12837	18938
404	12870	18908
405	12903	18878
406	12936	18847
407	12970	18819
408	13003	18790
409	13039	18763
410	13072	18734
411	13105	18704
412	13135	18669
413	13169	18641
414	13200	18608
415	13233	18578
416	13267	18549
417	13300	18519
418	13334	18490
419	13373	18467
420	13404	18435
421	13439	18408
422	13472	18377
423	13507	18349
424	13541	18321
425	13576	18292
426	13605	18257
427	13633	18221
428	13663	18186
429	13697	18156
430	13729	18125
431	13758	18090
432	13790	18058
433	13822	18026
434	13856	17997
435	13891	17969
436	13923	17937
437	13957	17908
438	13991	17879
439	14023	17847
440	14056	17817
441	14094	17793
442	14129	17764
443	14158	17729
444	14187	17695
445	14216	17658
446	14251	17630
447	14286	17602
448	14321	17574
449	14353	17543
450	14387	17514
451	14421	17484
452	14456	17456
453	14490	17427
454	14523	17396
455	14559	17369
456	14595	17342
457	14632	17316
458	14667	17288
459	14707	17264
460	14743	17238
461	14777	17208
462	14813	17180
463	14847	17151
464	14878	17117
465	14910	17086
466	14939	17051
467	14973	17021
468	15008	16992
469	15040	16960
470	15073	16929
471	15110	16903
472	15146	16875
473	15177	16842
474	15209	16810
475	15238	16775
476	15268	16741
477	15297	16705
478	15327	16671
479	15369	16649
480	15402	16619
481	15437	16590
482	15470	16559
483	15505	16530
484	15534	16494
485	15562	16459
486	15592	16425
487	15626	16395
488	15661	16366
489	15697	16337
490	15730	16307
491	15761	16273
492	15793	16241
493	15823	16207
494	15853	16173
495	15888	16144
496	15920	16112
497	15955	16083
498	15990	16054
499	16025	16025
500	16059	15995
501	16094	15966
502	16129	15937
503	16165	15909
504	16200	15879
505	16231	15846
506	16261	15812
507	16292	15779
508	16322	15745
509	16352	15711
510	16383	15678
511	16413	15644
512	16444	15610
513	16474	15576
514	16506	15545
515	16539	15513
516	16568	15478
517	16597	15444
518	16630	15412
519	16664	15382
520	16701	15355
521	16735	15325
522	16769	15294
523	16799	15261
524	16829	15226
525	16864	15197
526	16897	15165
527	16932	15136
528	16967	15107
529	17001	15076
530	17034	15045
531	17073	15019
532	17107	14988
533	17143	14960
534	17176	14929
535	17207	14896
536	17237	14862
537	17268	14829
538	17300	14797
539	17330	14762
540	17367	14735
541	17401	14704
542	17434	14673
543	17465	14640
544	17495	14606
545	17529	14575
546	17571	14551
547	17608	14523
548	17644	14494
549	17682	14467
550	17718	14438
551	17756	14410
552	17796	14384
553	17826	14351
554	17857	14317
555	17887	14284
556	17917	14250
557	17952	14220
558	17983	14187
559	18016	14155
560	18047	14122
561	18078	14089
562	18111	14058
563	18147	14028
564	18183	13999
565	18219	13970
566	18252	13938
567	18284	13906
568	18320	13877
569	18360	13851
570	18392	13818
571	18424	13786
572	18459	13756
573	18494	13725
574	18534	13699
575	18568	13668
576	18601	13636
577	18634	13605
578	18672	13577
579	18706	13546
580	18737	13512
581	18767	13478
582	18798	13445
583	18826	13410
584	18855	13376
585	18890	13345
586	18924	13315
587	18960	13285
588	18997	13256
589	19033	13226
590	19069	13197
591	19103	13165
592	19135	13133
593	19165	13099
594	19194	13065
595	19222	13030
596	19252	12996
597	19281	12961
598	19315	12930
599	19352	12901
600	19384	12869
601	19420	12839
602	19456	12809
603	19492	12779
604	19526	12748
605	19560	12717
606	19599	12689
607	19632	12657
608	19665	12625
609	19700	12595
610	19734	12564
611	19767	12532
612	19800	12500
613	19833	12468
614	19868	12437
615	19902	12406
616	19934	12374
617	19966	12341
618	19999	12309
619	20027	12274
620	20061	12243
621	20094	12211
622	20131	12182
623	20165	12151
624	20201	12121
625	20236	12090
626	20268	12057
627	20299	12024
628	20334	11993
629	20367	11961
630	20403	11931
631	20436	11899
632	20471	11868
633	20532	11852
634	20575	11826
635	20609	11795
636	20643	11763
637	20681	11734
638	20719	11705
639	20759	11676
640	20789	11643
641	20821	11610
